codigo_municipio,municipio,ano,populacao,fonte,metodo
3300100,Angra dos Reis,2003,129621,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300100,Angra dos Reis,2004,136525,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300100,Angra dos Reis,2005,140345,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300100,Angra dos Reis,2006,144137,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300100,Angra dos Reis,2007,148476,IBGE SIDRA tabela 793 Contagem da Populacao 2007,contagem_oficial_ibge
3300100,Angra dos Reis,2008,164191,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300100,Angra dos Reis,2009,168664,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300100,Angra dos Reis,2010,169511,IBGE SIDRA tabela 200 Censo Demografico 2010,censo_oficial_ibge
3300100,Angra dos Reis,2011,173370,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300100,Angra dos Reis,2012,177101,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300100,Angra dos Reis,2013,181486,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300100,Angra dos Reis,2014,184940,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300100,Angra dos Reis,2015,188276,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300100,Angra dos Reis,2016,191504,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300100,Angra dos Reis,2017,194619,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300100,Angra dos Reis,2018,200407,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300100,Angra dos Reis,2019,203785,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300100,Angra dos Reis,2020,207044,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300100,Angra dos Reis,2021,210171,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300100,Angra dos Reis,2022,167434,IBGE SIDRA tabela 4714 Censo Demografico 2022,censo_oficial_ibge
3300100,Angra dos Reis,2023,173277,Interpolacao linear entre IBGE SIDRA tabela 4714 Censo 2022 e tabela 6579 Estimativa 2024,interpolacao_linear_2022_2024
3300100,Angra dos Reis,2024,179120,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300100,Angra dos Reis,2025,179142,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300159,Aperibé,2003,8544,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300159,Aperibé,2004,8893,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300159,Aperibé,2005,9087,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300159,Aperibé,2006,9279,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300159,Aperibé,2007,8820,IBGE SIDRA tabela 793 Contagem da Populacao 2007,contagem_oficial_ibge
3300159,Aperibé,2008,9420,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300159,Aperibé,2009,9556,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300159,Aperibé,2010,10213,IBGE SIDRA tabela 200 Censo Demografico 2010,censo_oficial_ibge
3300159,Aperibé,2011,10382,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300159,Aperibé,2012,10545,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300159,Aperibé,2013,10736,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300159,Aperibé,2014,10882,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300159,Aperibé,2015,11023,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300159,Aperibé,2016,11160,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300159,Aperibé,2017,11292,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300159,Aperibé,2018,11612,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300159,Aperibé,2019,11759,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300159,Aperibé,2020,11901,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300159,Aperibé,2021,12036,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300159,Aperibé,2022,11034,IBGE SIDRA tabela 4714 Censo Demografico 2022,censo_oficial_ibge
3300159,Aperibé,2023,11227,Interpolacao linear entre IBGE SIDRA tabela 4714 Censo 2022 e tabela 6579 Estimativa 2024,interpolacao_linear_2022_2024
3300159,Aperibé,2024,11420,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300159,Aperibé,2025,11426,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300209,Araruama,2003,90128,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300209,Araruama,2004,95003,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300209,Araruama,2005,97701,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300209,Araruama,2006,100378,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300209,Araruama,2007,98268,IBGE SIDRA tabela 793 Contagem da Populacao 2007,contagem_oficial_ibge
3300209,Araruama,2008,107285,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300209,Araruama,2009,109705,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300209,Araruama,2010,112008,IBGE SIDRA tabela 200 Censo Demografico 2010,censo_oficial_ibge
3300209,Araruama,2011,114250,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300209,Araruama,2012,116418,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300209,Araruama,2013,118964,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300209,Araruama,2014,120948,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300209,Araruama,2015,122865,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300209,Araruama,2016,124940,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300209,Araruama,2017,126742,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300209,Araruama,2018,130439,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300209,Araruama,2019,132400,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300209,Araruama,2020,134293,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
3300209,Araruama,2021,136109,IBGE SIDRA tabela 6579 Estimativas da populacao,estimativa_oficial_ibge
